crane,boom,cwt,radius,lift,capacity,location
7T Tadpole,21m,,1.0,,7,Launceston
13T Kato,24m,,1.0,,13,Launceston
40T All Terrain Tadano,35m,1.4T ,1.0,,40,Launceston
40T All Terrain Tadano,35m,6.5T,1.0,,40,Launceston
55T Grove,43m,6.6T,1.0,,55,Launceston
,43m,11.5T C/W,1.0,,9999,Unknown
100T Grove,60m,4.5T C/W,1.0,,100,Launceston
,60m,26.2T,1.0,,9999,Unknown
150T Grove,60m,1T,1.0,,150,Launceston
150T Grove,60m,26.3T,1.0,,150,Launceston
150T Grove,60m,44.56T,1.0,,150,Launceston
250T Grove,78.5m,0T,1.0,,250,Launceston
250T Grove,78.5m,16.5T,1.0,,250,Launceston
250T Grove,78.5m,40T,1.0,,250,Launceston
250T Grove,78.5m,50T,1.0,,250,Launceston
250T Grove,78.5,70T,1.0,,250,Launceston
250T Grove,78.5m,80T,1.0,,250,Launceston
300T Grove,80m,16.5T,1.0,,300,Launceston
300T Grove,80m,35.5T,1.0,,300,Launceston
300T Grove,80m,54.5T,1.0,,300,Launceston
300T Grove,80m,74.5T,1.0,,300,Launceston
300T Grove,80m,92.5T,1.0,,300,Launceston
,,,1.0,,9999,Unknown
2.8T Maeda,8.5m,0,1.0,,2,Hobart
4T Maeda,16.4m,0,1.0,,4,Hobart
13T Kato,24m,0,1.0,,13,Launceston
25T    Kato,31m,0,1.0,,25,Hobart
25T Kato City,29m,0,1.0,,25,Hobart
35T Demag,37.4m,2.5T,1.0,,35,Hobart
35T Demag,37.4m,5.5T,1.0,,35,Hobart
40T Franna,Static,,1.0,35.0,40,Hobart
40T Franna,Mobile,,1.0,35.0,40,Hobart
40T Franna,,,1.0,35.0,40,Hobart
60T Demag,44m,4.6T,1.0,,60,Hobart
60T Demag,44m,11.6T,1.0,,60,Hobart
60T Demag #2,50m,4.7T,1.0,,60,Hobart
60T Demag #2,50m,12.1T,1.0,,60,Hobart
100T Liehbherr,52m,11.5T,1.0,,100,Hobart
100T Liehbherr,52m,35T,1.0,,100,Hobart
220T Tadano,68m,0T,1.0,,220,Hobart
220T Tadano,68m,23.5T,1.0,,220,Hobart
220T Tadano,68m,47T,1.0,,220,Hobart
220T Tadano,68m,71T,1.0,,220,Hobart
250T Grove #2,70m,0T,1.0,,250,Hobart
250T Grove #2,70m,16.5T,1.0,,250,Hobart
250T Grove #2,70m,40T,1.0,,250,Hobart
250T Grove #2,70m,80T,1.0,,250,Hobart
300T Grove,80m,16.5T,1.0,,300,Launceston
300T Grove,80m,35.5T,1.0,,300,Launceston
300T Grove,80m,54.5T,1.0,,300,Launceston
300T Grove,80m,74.5T,1.0,,300,Launceston
300T Grove,80m,92.5T,1.0,,300,Launceston
7T Tadpole,21m,,2.0,4.9,7,Launceston
13T Kato,24m,,2.0,12.0,13,Launceston
40T All Terrain Tadano,35m,1.4T ,2.0,,40,Launceston
40T All Terrain Tadano,35m,6.5T,2.0,,40,Launceston
55T Grove,43m,6.6T,2.0,,55,Launceston
,43m,11.5T C/W,2.0,,9999,Unknown
100T Grove,60m,4.5T C/W,2.0,,100,Launceston
,60m,26.2T,2.0,,9999,Unknown
150T Grove,60m,1T,2.0,,150,Launceston
150T Grove,60m,26.3T,2.0,,150,Launceston
150T Grove,60m,44.56T,2.0,,150,Launceston
250T Grove,78.5m,0T,2.0,,250,Launceston
250T Grove,78.5m,16.5T,2.0,,250,Launceston
250T Grove,78.5m,40T,2.0,,250,Launceston
250T Grove,78.5m,50T,2.0,,250,Launceston
250T Grove,78.5,70T,2.0,,250,Launceston
250T Grove,78.5m,80T,2.0,,250,Launceston
300T Grove,80m,16.5T,2.0,,300,Launceston
300T Grove,80m,35.5T,2.0,,300,Launceston
300T Grove,80m,54.5T,2.0,,300,Launceston
300T Grove,80m,74.5T,2.0,,300,Launceston
300T Grove,80m,92.5T,2.0,,300,Launceston
,,,2.0,,9999,Unknown
2.8T Maeda,8.5m,0,2.0,1.92,2,Hobart
4T Maeda,16.4m,0,2.0,,4,Hobart
13T Kato,24m,0,2.0,12.0,13,Launceston
25T    Kato,31m,0,2.0,,25,Hobart
25T Kato City,29m,0,2.0,,25,Hobart
35T Demag,37.4m,2.5T,2.0,,35,Hobart
35T Demag,37.4m,5.5T,2.0,,35,Hobart
40T Franna,Static,,2.0,35.0,40,Hobart
40T Franna,Mobile,,2.0,34.3,40,Hobart
40T Franna,,,2.0,30.6,40,Hobart
60T Demag,44m,4.6T,2.0,,60,Hobart
60T Demag,44m,11.6T,2.0,,60,Hobart
60T Demag #2,50m,4.7T,2.0,,60,Hobart
60T Demag #2,50m,12.1T,2.0,,60,Hobart
100T Liehbherr,52m,11.5T,2.0,,100,Hobart
100T Liehbherr,52m,35T,2.0,,100,Hobart
220T Tadano,68m,0T,2.0,,220,Hobart
220T Tadano,68m,23.5T,2.0,,220,Hobart
220T Tadano,68m,47T,2.0,,220,Hobart
220T Tadano,68m,71T,2.0,,220,Hobart
250T Grove #2,70m,0T,2.0,,250,Hobart
250T Grove #2,70m,16.5T,2.0,,250,Hobart
250T Grove #2,70m,40T,2.0,,250,Hobart
250T Grove #2,70m,80T,2.0,,250,Hobart
300T Grove,80m,16.5T,2.0,,300,Launceston
300T Grove,80m,35.5T,2.0,,300,Launceston
300T Grove,80m,54.5T,2.0,,300,Launceston
300T Grove,80m,74.5T,2.0,,300,Launceston
300T Grove,80m,92.5T,2.0,,300,Launceston
7T Tadpole,21m,,2.5,4.9,7,Launceston
13T Kato,24m,,2.5,10.0,13,Launceston
40T All Terrain Tadano,35m,1.4T ,2.5,,40,Launceston
40T All Terrain Tadano,35m,6.5T,2.5,,40,Launceston
55T Grove,43m,6.6T,2.5,,55,Launceston
,43m,11.5T C/W,2.5,,9999,Unknown
100T Grove,60m,4.5T C/W,2.5,,100,Launceston
,60m,26.2T,2.5,,9999,Unknown
150T Grove,60m,1T,2.5,,150,Launceston
150T Grove,60m,26.3T,2.5,,150,Launceston
150T Grove,60m,44.56T,2.5,,150,Launceston
250T Grove,78.5m,0T,2.5,,250,Launceston
250T Grove,78.5m,16.5T,2.5,,250,Launceston
250T Grove,78.5m,40T,2.5,,250,Launceston
250T Grove,78.5m,50T,2.5,,250,Launceston
250T Grove,78.5,70T,2.5,,250,Launceston
250T Grove,78.5m,80T,2.5,,250,Launceston
300T Grove,80m,16.5T,2.5,,300,Launceston
300T Grove,80m,35.5T,2.5,,300,Launceston
300T Grove,80m,54.5T,2.5,,300,Launceston
300T Grove,80m,74.5T,2.5,,300,Launceston
300T Grove,80m,92.5T,2.5,,300,Launceston
,,,2.5,,9999,Unknown
2.8T Maeda,8.5m,0,2.5,1.57,2,Hobart
4T Maeda,16.4m,0,2.5,3.83,4,Hobart
13T Kato,24m,0,2.5,10.0,13,Launceston
25T    Kato,31m,0,2.5,20.0,25,Hobart
25T Kato City,29m,0,2.5,25.0,25,Hobart
35T Demag,37.4m,2.5T,2.5,,35,Hobart
35T Demag,37.4m,5.5T,2.5,,35,Hobart
40T Franna,Static,,2.5,30.4,40,Hobart
40T Franna,Mobile,,2.5,27.1,40,Hobart
40T Franna,,,2.5,24.8,40,Hobart
60T Demag,44m,4.6T,2.5,,60,Hobart
60T Demag,44m,11.6T,2.5,,60,Hobart
60T Demag #2,50m,4.7T,2.5,,60,Hobart
60T Demag #2,50m,12.1T,2.5,60.0,60,Hobart
100T Liehbherr,52m,11.5T,2.5,,100,Hobart
100T Liehbherr,52m,35T,2.5,,100,Hobart
220T Tadano,68m,0T,2.5,,220,Hobart
220T Tadano,68m,23.5T,2.5,,220,Hobart
220T Tadano,68m,47T,2.5,,220,Hobart
220T Tadano,68m,71T,2.5,220.0,220,Hobart
250T Grove #2,70m,0T,2.5,,250,Hobart
250T Grove #2,70m,16.5T,2.5,,250,Hobart
250T Grove #2,70m,40T,2.5,,250,Hobart
250T Grove #2,70m,80T,2.5,,250,Hobart
300T Grove,80m,16.5T,2.5,,300,Launceston
300T Grove,80m,35.5T,2.5,,300,Launceston
300T Grove,80m,54.5T,2.5,,300,Launceston
300T Grove,80m,74.5T,2.5,,300,Launceston
300T Grove,80m,92.5T,2.5,,300,Launceston
7T Tadpole,21m,,3.0,4.9,7,Launceston
13T Kato,24m,,3.0,8.2,13,Launceston
40T All Terrain Tadano,35m,1.4T ,3.0,31.3,40,Launceston
40T All Terrain Tadano,35m,6.5T,3.0,32.1,40,Launceston
55T Grove,43m,6.6T,3.0,44.5,55,Launceston
,43m,11.5T C/W,3.0,45.0,9999,Unknown
100T Grove,60m,4.5T C/W,3.0,75.0,100,Launceston
,60m,26.2T,3.0,76.0,9999,Unknown
150T Grove,60m,1T,3.0,103.0,150,Launceston
150T Grove,60m,26.3T,3.0,106.0,150,Launceston
150T Grove,60m,44.56T,3.0,108.0,150,Launceston
250T Grove,78.5m,0T,3.0,140.0,250,Launceston
250T Grove,78.5m,16.5T,3.0,140.0,250,Launceston
250T Grove,78.5m,40T,3.0,140.0,250,Launceston
250T Grove,78.5m,50T,3.0,140.0,250,Launceston
250T Grove,78.5,70T,3.0,140.0,250,Launceston
250T Grove,78.5m,80T,3.0,140.0,250,Launceston
300T Grove,80m,16.5T,3.0,182.0,300,Launceston
